timestamp,instance_id,cloud_provider,region,environment,service_name,instance_type,vcpus,ram_gb,hourly_cost_usd,cpu_utilization_pct,memory_utilization_pct,network_io_mb,p95_latency_ms,request_count,http_5xx_errors,date,hour,day_name,is_weekend,rolling_cpu_24h_avg,rolling_ram_24h_avg,is_idle_zombie,wasted_cost_usd,health_status,sla_breached
2026-07-09 00:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,3.13,6.54,3.63,22.34,4,0,2026-07-09,0,Thursday,0,3.13,6.54,1,0.504,Healthy,0
2026-07-09 01:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,2.65,8.32,7.42,20.08,15,0,2026-07-09,1,Thursday,0,2.89,7.43,1,0.504,Healthy,0
2026-07-09 02:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,2.55,9.12,3.85,27.68,0,0,2026-07-09,2,Thursday,0,2.78,7.99,1,0.504,Healthy,0
2026-07-09 03:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,3.11,10.14,3.8,29.29,5,0,2026-07-09,3,Thursday,0,2.86,8.53,1,0.504,Healthy,0
2026-07-09 04:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,1.0,9.11,5.6,35.56,29,0,2026-07-09,4,Thursday,0,2.49,8.65,1,0.504,Healthy,0
2026-07-09 05:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,1.34,7.75,4.95,30.48,14,0,2026-07-09,5,Thursday,0,2.3,8.5,1,0.504,Healthy,0
2026-07-09 06:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,0.84,8.76,5.5,29.52,15,0,2026-07-09,6,Thursday,0,2.09,8.53,1,0.504,Healthy,0
2026-07-09 07:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,3.05,8.02,5.71,20.39,17,0,2026-07-09,7,Thursday,0,2.21,8.47,1,0.504,Healthy,0
2026-07-09 08:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,2.35,8.59,5.5,32.0,5,0,2026-07-09,8,Thursday,0,2.22,8.48,1,0.504,Healthy,0
2026-07-09 09:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,3.13,8.01,4.78,15.0,19,0,2026-07-09,9,Thursday,0,2.32,8.44,1,0.504,Healthy,0
2026-07-09 10:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,1.87,7.57,6.48,17.0,23,0,2026-07-09,10,Thursday,0,2.27,8.36,1,0.504,Healthy,0
2026-07-09 11:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,2.87,9.54,5.51,27.95,0,0,2026-07-09,11,Thursday,0,2.32,8.46,1,0.504,Healthy,0
2026-07-09 12:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,2.46,9.73,7.04,25.63,0,0,2026-07-09,12,Thursday,0,2.33,8.55,1,0.504,Healthy,0
2026-07-09 13:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,1.2,8.71,7.19,15.0,17,0,2026-07-09,13,Thursday,0,2.25,8.56,1,0.504,Healthy,0
2026-07-09 14:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,1.79,9.89,7.03,26.5,19,0,2026-07-09,14,Thursday,0,2.22,8.65,1,0.504,Healthy,0
2026-07-09 15:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,3.22,5.65,2.85,24.28,1,0,2026-07-09,15,Thursday,0,2.28,8.47,1,0.504,Healthy,0
2026-07-09 16:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,3.83,6.81,9.89,27.92,15,0,2026-07-09,16,Thursday,0,2.38,8.37,1,0.504,Healthy,0
2026-07-09 17:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,3.42,7.21,6.24,28.49,19,0,2026-07-09,17,Thursday,0,2.43,8.3,1,0.504,Healthy,0
2026-07-09 18:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,1.72,10.44,3.24,28.4,5,0,2026-07-09,18,Thursday,0,2.4,8.42,1,0.504,Healthy,0
2026-07-09 19:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,2.81,7.76,6.77,15.0,4,0,2026-07-09,19,Thursday,0,2.42,8.38,1,0.504,Healthy,0
2026-07-09 20:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,2.05,8.17,1.0,28.12,29,0,2026-07-09,20,Thursday,0,2.4,8.37,1,0.504,Healthy,0
2026-07-09 21:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,1.52,5.79,10.11,23.65,8,0,2026-07-09,21,Thursday,0,2.36,8.26,1,0.504,Healthy,0
2026-07-09 22:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,3.31,8.43,1.5,27.38,18,0,2026-07-09,22,Thursday,0,2.4,8.26,1,0.504,Healthy,0
2026-07-09 23:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,1.37,8.55,8.21,26.51,15,0,2026-07-09,23,Thursday,0,2.36,8.28,1,0.504,Healthy,0
2026-07-10 00:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,1.95,7.56,2.05,16.49,16,0,2026-07-10,0,Friday,0,2.31,8.32,1,0.504,Healthy,0
2026-07-10 01:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,3.59,7.65,1.66,26.21,11,0,2026-07-10,1,Friday,0,2.35,8.29,1,0.504,Healthy,0
2026-07-10 02:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,2.25,7.31,3.4,15.0,17,0,2026-07-10,2,Friday,0,2.34,8.21,1,0.504,Healthy,0
2026-07-10 03:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,2.13,7.42,11.15,21.06,23,0,2026-07-10,3,Friday,0,2.29,8.1,1,0.504,Healthy,0
2026-07-10 04:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,3.1,7.42,4.38,28.63,19,0,2026-07-10,4,Friday,0,2.38,8.03,1,0.504,Healthy,0
2026-07-10 05:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,3.42,6.83,5.58,24.48,19,0,2026-07-10,5,Friday,0,2.47,7.99,1,0.504,Healthy,0
2026-07-10 06:00:00,i-dev-sandbox-ml,AWS,us-east-1,Development,ml-experiments,r5.2xlarge,8,64,0.504,2.68,8.02,3.42,22.07,30,0,2026-07-10,6,Friday,0,2.55,7.96,1,0.504,Healthy,0
